asofdate,pnl,pointForecast,forecastday,product_name
2016-10-13 21:46:00+00:00,14.0,2147.1065682310045,5,SPY
2016-10-20 21:46:00+00:00,19.5,2127.4535557253757,5,SPY
2016-11-03 21:46:00+00:00,11.0,2123.938978791033,5,SPY
2016-11-10 22:46:00+00:00,43.75,2079.988578977945,5,SPY
2016-12-04 22:46:00+00:00,20.0,2201.216963951273,5,SPY
2016-12-11 22:46:00+00:00,3.5,2204.460111626542,5,SPY
2016-12-18 22:46:00+00:00,46.25,2251.497462324636,5,SPY
2016-12-26 22:46:00+00:00,9.5,2261.126863549388,5,SPY
2017-01-03 22:46:00+00:00,1.0,2261.8782286674946,5,SPY
2017-01-10 22:46:00+00:00,3.25,2265.243055665205,5,SPY
2017-01-18 22:46:00+00:00,6.25,2272.01038998753,5,SPY
2017-02-01 22:46:00+00:00,32.5,2295.294646485664,5,SPY
2017-02-15 22:46:00+00:00,28.75,2305.6035851976208,5,SPY
2017-02-23 22:46:00+00:00,41.25,2346.995880545559,5,SPY
2017-03-02 22:46:00+00:00,19.5,2366.22711977071,5,SPY
2017-03-09 22:46:00+00:00,16.25,2379.7496346892854,5,SPY
2017-03-23 21:46:00+00:00,6.75,2374.587649506845,5,SPY
2017-04-06 21:46:00+00:00,14.5,2359.6333884006453,5,SPY
2017-04-30 21:46:00+00:00,25.0,2370.7528298684024,5,SPY
2017-05-07 21:46:00+00:00,17.0,2388.1090975417223,5,SPY
2017-05-14 21:46:00+00:00,8.0,2395.850117106166,5,SPY
2017-05-21 21:46:00+00:00,3.5,2399.8411290178906,5,SPY
2017-06-05 21:46:00+00:00,18.0,2411.7196307027825,5,SPY
2017-06-12 21:46:00+00:00,20.0,2431.3606043329232,5,SPY
2017-06-19 21:46:00+00:00,7.25,2439.474652588296,5,SPY
2017-07-11 21:46:00+00:00,7.5,2429.4644473045287,5,SPY
2017-07-18 21:46:00+00:00,12.0,2441.210475369869,5,SPY
2017-07-25 21:46:00+00:00,31.5,2472.7944757936275,5,SPY
2017-08-01 21:46:00+00:00,1.75,2474.571738182302,5,SPY
2017-08-29 21:46:00+00:00,26.0,2442.5992631015856,5,SPY
2017-09-06 21:46:00+00:00,14.25,2456.9276725469163,5,SPY
2017-09-13 21:46:00+00:00,10.75,2469.336600774177,5,SPY
2017-09-20 21:46:00+00:00,27.75,2495.9365329954044,5,SPY
2017-09-27 21:46:00+00:00,6.75,2502.492438766297,5,SPY
2017-10-04 21:46:00+00:00,6.75,2509.2628962668737,5,SPY
2017-10-11 21:46:00+00:00,42.25,2551.5353749762694,5,SPY
2017-10-18 21:46:00+00:00,-0.5,2551.3799286934386,5,SPY
2017-10-25 21:46:00+00:00,11.0,2562.349352967264,5,SPY
2017-11-01 21:46:00+00:00,1.0,2563.251730093345,5,SPY
2017-11-08 22:46:00+00:00,15.25,2578.87425560417,5,SPY
2017-11-15 22:46:00+00:00,7.25,2585.8496564148504,5,SPY
2017-11-30 22:46:00+00:00,16.0,2601.8957671234834,5,SPY
2017-12-07 22:46:00+00:00,43.0,2646.012600573837,5,SPY
2017-12-14 22:46:00+00:00,10.0,2655.6486209103045,5,SPY
2017-12-21 22:46:00+00:00,28.0,2683.699823837268,5,SPY
2018-01-01 22:46:00+00:00,4.0,2687.875496788066,5,SPY
2018-01-08 22:46:00+00:00,7.0,2694.920006962942,5,SPY
2018-01-16 22:46:00+00:00,59.25,2754.259007178779,5,SPY
2018-01-23 22:46:00+00:00,51.5,2806.0795369347275,5,SPY
2018-01-30 22:46:00+00:00,37.25,2843.495716850849,5,SPY
2018-02-28 22:46:00+00:00,14.5,2712.986426460083,5,SPY
2018-03-21 21:46:00+00:00,16.25,2757.601112852569,5,SPY
2018-04-05 21:46:00+00:00,0.25,2642.5640523971624,5,SPY
2018-04-12 21:46:00+00:00,37.25,2606.899045798531,5,SPY
2018-05-10 21:46:00+00:00,8.5,2663.189733630952,5,SPY
2018-06-17 21:46:00+00:00,41.25,2788.2641938640068,5,SPY
2018-07-09 21:46:00+00:00,5.0,2728.533402270922,5,SPY
