,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name
245,2020-11-02 14:30:00+00:00,-1215.1815870781875,-1194.0050125531188,-1206.6605722255072,0.013786542431351457,0.00044902911671127437,5,True,252,1800,2,0,0 days 00:00:01.139053,DAX
246,2020-11-09 14:30:00+00:00,-1209.5624224879557,-1188.385847962887,-1201.0414076352754,0.014109423136640419,0.00045913806226043107,5,True,252,1800,2,0,0 days 00:00:00.992183,DAX
247,2020-11-16 14:30:00+00:00,-1207.642464774728,-1186.4658902496594,-1199.1214499220478,0.014245504794438526,0.0004626445656349798,5,True,252,1800,2,0,0 days 00:00:01.155471,DAX
248,2020-11-23 14:30:00+00:00,-1207.7212170444425,-1186.5446425193738,-1199.2002021917622,0.014239704130365507,0.00046248258644185055,5,True,252,1800,2,0,0 days 00:00:01.552075,DAX
249,2020-12-01 14:30:00+00:00,-1205.8783021731492,-1184.7017276480806,-1197.357287320469,0.014470306646815732,0.00046596491396392063,5,True,252,1800,2,0,0 days 00:00:01.344189,DAX
250,2020-12-08 14:30:00+00:00,-1206.5528724231253,-1185.3762978980567,-1198.031857570445,0.014334622764916335,0.00046464917207216124,5,True,252,1800,2,0,0 days 00:00:01.050449,DAX
251,2020-12-15 14:30:00+00:00,-1205.1434442603904,-1183.9668697353218,-1196.6224294077101,0.014487301019701495,0.00046729077582276056,5,True,252,1800,2,0,0 days 00:00:00.771672,DAX
252,2020-12-22 14:30:00+00:00,-1203.8539931180921,-1182.6774185930235,-1195.3329782654118,0.014512444010788793,0.0004696738917404387,5,True,252,1800,2,0,0 days 00:00:00.686377,DAX
253,2020-12-30 14:30:00+00:00,-1203.0318971693055,-1181.8553226442368,-1194.5108823166252,0.01460554905780332,0.0004713335180093346,5,True,252,1800,2,0,0 days 00:00:00.760587,DAX
254,2021-01-07 14:30:00+00:00,-1203.3138432573396,-1182.137268732271,-1194.7928284046593,0.014606007382129981,0.0004706501650217013,5,True,252,1800,2,0,0 days 00:00:00.653088,DAX
255,2021-01-14 14:30:00+00:00,-1202.6429261257003,-1181.4663516006317,-1194.12191127302,0.014639024230816493,0.00047190375637372426,5,True,252,1800,2,0,0 days 00:00:00.719898,DAX
