,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.resid,ma.L1.resid
86,2006-05-31 22:00:00+00:00,-1299.567295317364,-1285.4495789673183,-1293.8866187489105,0.014395296390627225,0.0003267077006615352,5,True,252,2000,1,1,0 days 00:00:00.165996,CL1,0.24856145728741885,0.2238270952891725
87,2006-06-07 22:00:00+00:00,-1304.365475908543,-1290.2477595584974,-1298.6847993400895,0.014276065203092296,0.0003204853471527091,5,True,252,2000,1,1,0 days 00:00:00.181045,CL1,0.18156681216193085,0.18543323046449933
88,2006-06-14 22:00:00+00:00,-1309.8763889244447,-1295.758672574399,-1304.1957123559912,0.014106514250165752,0.0003135544846458688,5,True,252,2000,1,1,0 days 00:00:00.152958,CL1,0.2935841190846705,0.26795209703508616
89,2006-06-21 22:00:00+00:00,-1314.2796201602368,-1300.1619038101912,-1308.5989435917834,0.013998934257594645,0.0003081133630069064,5,True,252,2000,1,1,0 days 00:00:00.176998,CL1,0.24811103818425254,0.22403518063629504
90,2006-06-28 22:00:00+00:00,-1320.6758791916318,-1306.5581628415862,-1314.9952026231783,0.013811616237300052,0.00030039983329820677,5,True,252,2000,1,1,0 days 00:00:00.142006,CL1,0.2980173708211146,0.272409000574001
91,2006-07-09 22:00:00+00:00,-1325.2230623488736,-1311.105345998828,-1319.54238578042,0.013663093801889122,0.00029502329409527244,5,True,252,2000,1,1,0 days 00:00:00.162954,CL1,0.37244216152403287,0.3474173677673214
92,2006-07-16 22:00:00+00:00,-1325.9700912367816,-1311.852374886736,-1320.2894146683282,0.013642583684099109,0.00029416187615515914,5,True,252,2000,1,1,0 days 00:00:00.146999,CL1,0.29461060463266947,0.2706765267441128
93,2006-07-23 22:00:00+00:00,-1330.4357641180022,-1316.3180477679566,-1324.7550875495488,0.013514645936881222,0.0002889615334198318,5,True,252,2000,1,1,0 days 00:00:00.187358,CL1,0.11125501355767073,0.0892126056423844
94,2006-07-30 22:00:00+00:00,-1331.988008188791,-1317.8702918387453,-1326.3073316203374,0.01352047213888728,0.00028747645386840716,5,True,252,2000,1,1,0 days 00:00:00.307840,CL1,0.022267617430007054,0.010969019382705102
95,2006-08-06 22:00:00+00:00,-1327.421341803531,-1313.3036254534854,-1321.7406652350776,0.013664331721689875,0.00029281963273770266,5,True,252,2000,1,1,0 days 00:00:00.319728,CL1,0.0224281436348833,0.011740659883362372
96,2006-08-13 22:00:00+00:00,-1330.3865781718637,-1316.268861821818,-1324.7059016034102,0.013536784448767667,0.0002890330562042537,5,True,252,2000,1,1,0 days 00:00:00.144296,CL1,0.2334984257930828,0.2061684870927188
97,2006-08-20 22:00:00+00:00,-1332.781345409585,-1318.6636290595393,-1327.1006688411314,0.013595540111221063,0.00028632007114806976,5,True,252,2000,1,1,0 days 00:00:00.201777,CL1,0.2814030824317872,0.25357731846115134
98,2006-08-27 22:00:00+00:00,-1338.008142607407,-1323.8904262573615,-1332.3274660389536,0.01338638931625378,0.00028043880891391327,5,True,252,2000,1,1,0 days 00:00:00.153055,CL1,0.23801523379362222,0.21188823938909462
99,2006-09-03 22:00:00+00:00,-1346.636191007285,-1332.5184746572395,-1340.9555144388316,0.013128454148086258,0.0002709913436656632,5,True,252,2000,1,1,0 days 00:00:00.153487,CL1,0.3102915537090511,0.2857912870776039
100,2006-09-10 22:00:00+00:00,-1351.779498641372,-1337.6617822913263,-1346.0988220729184,0.012963175680581286,0.0002655095121394847,5,True,252,2000,1,1,0 days 00:00:00.135041,CL1,0.27325703850169386,0.25124432208655184
101,2006-09-17 22:00:00+00:00,-1354.582542129483,-1340.4648257794374,-1348.9018655610296,0.012966111632336937,0.000262624540193341,5,True,252,2000,1,1,0 days 00:00:00.174972,CL1,0.27170739227493695,0.24966406295475738
102,2006-09-24 22:00:00+00:00,-1357.208025214401,-1343.0903088643554,-1351.5273486459475,0.013035028137148153,0.00025987171362411564,5,True,252,2000,1,1,0 days 00:00:00.196158,CL1,0.26537884711780585,0.24529914765759242
